Item name,Category,Size/Quantity,Price,ImageURL,Image URL
Burfi 10,SNACKS,PIECES,10,https://source.unsplash.com/200x200/?Burfi+10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7hA23FSIIANRuaGNaNFkW3vYkQSRsIU6hG1N0pCsb5SRgutFFLblRGHco5hc&s
Burfi 5,DRY FRUITS,,5,https://source.unsplash.com/200x200/?Burfi+5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVa4MmuHUOUgDnIvhRzMUK_P_2wVIN_eG9oVlZg5062ktfGprOzz4WgVGFzg&s
Cadaburry dairy milk 50rs,CHOCOLATE,NUMBERS,50,https://source.unsplash.com/200x200/?Cadaburry+dairy+milk+50rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl5f9_vRtURsPYB6iIjP0c4dU55Mvkxtm9yIOSS7hsQrjL-umecKUet8mkqw&s
Cadburry Choco cookie Rs.30,CHOCOLATE,PACKS,30,https://source.unsplash.com/200x200/?Cadburry+Choco+cookie+Rs.30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCiuO5kVLR3wW6-zcSu61sYJtXqlkMrzvQYQe_y8Z-_WnFzrftYRCVjJyuBNY&s
Cadburry Chocobakes 10rs,CHOCOLATE,NUMBERS,10,https://source.unsplash.com/200x200/?Cadburry+Chocobakes+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlRBlWjo4WQr1F29Z5Yj4jH6zmn27oGooLyEDEN49lzE2XW51fQV3CcSSoZQ&s
Cadburry dairy milk fruit & nut 55rs,CHOCOLATE,NUMBERS,55,https://source.unsplash.com/200x200/?Cadburry+dairy+milk+fruit+&+nut+55rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHL91Wu_8bV4DkW94w2aglJ1dAyHn3etTdzMDZ4sLRuOhKC9E0EdZqjFRb0-s&s
Cadburry Five star 10rs,CHOCOLATE,NUMBERS,10,https://source.unsplash.com/200x200/?Cadburry+Five+star+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkxBPy9Kb-QxIiSG_Z--IwNE53XnTmeqZFIndCnK3ElO1r-7BpKZamTj3fSg&s
Cadburry Five star 5rs,CHOCOLATE,PIECES,5,https://source.unsplash.com/200x200/?Cadburry+Five+star+5rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSINvADck3BcLdtV-THyEnZ_ryQ-i01wZeBcNJsX-hDI8lmuI6uaHS5QXqUMw&s
Cadburry oreo 10rs,BISCUITS,NUMBERS,10,https://source.unsplash.com/200x200/?Cadburry+oreo+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVmns1iBCAclW3Z7u15abK_m9NHw6KV7vkqm9dcHz3llMbfIpPIvmC1muCfw&s
Cadburry Oreo 20rs,BISCUITS,NUMBERS,20,https://source.unsplash.com/200x200/?Cadburry+Oreo+20rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1cIYvjRE_qioI52iWZ97Wzgqt7J8YgQf9AvCRoHGc4Upv1r6MPR4odPchfp4&s
Cadburry Oreo vannila 10rs,BISCUITS,NUMBERS,10,https://source.unsplash.com/200x200/?Cadburry+Oreo+vannila+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWi-ERXngxMEytgGJZ1wsJMjGyFgpvg6IL8eQg9zjPauT7-UOyT8bFj4yJmg&s
Cadburry Perk 10rs,CHOCOLATE,NUMBERS,10,https://source.unsplash.com/200x200/?Cadburry+Perk+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgZcGML1MaLHAU4kT2mECNK4z1-ZvZKgfkyb7xPq0GHZPEr7epMuwVCc5NrA&s
Calculator normal big,STATIONARY,NUMBERS,300,https://source.unsplash.com/200x200/?Calculator+normal+big,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXUUuNlA0mxZf_ZRux5sihwbw0QNLU8F5_ebo8nhRqY4eksYzlRSV9KabdTG8&s
California almonds 100g,DRY FRUITS,GRAMMES,130,https://source.unsplash.com/200x200/?California+almonds+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0SZ33CTSXwLv7r0cCd6s3HLViPR_BPYijuAlyUklYiEMYOQFC0Odg69t5Bw&s
Camlin A5 King size R/UR 50/-,Other,NUMBERS,0,https://source.unsplash.com/200x200/?Camlin+A5+King+size+R/UR+50/-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXvlA4VIJ2e_WEEyh41gN7wKfhDPIYtNrQqx5073gOPPCRjHPnm807MNsoem8&s
Camlin CD Marker Rs.10,STATIONARY,NUMBERS,10,https://source.unsplash.com/200x200/?Camlin+CD+Marker+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd9MAxoly1PNAQOuOmU-TtWRJXbuvviImtGLlKUlJ27sDYDdv9mNalovKzSw&s
Camlin lead,STATIONARY,NUMBERS,5,https://source.unsplash.com/200x200/?Camlin+lead,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJ3_X5C6F1oI4nUXp5cbgxJ1Fdq-fT4OOCY-sLR5Y9oYAA4fdv0WUCIGRP-w&s
Camlin ULB 120 Pgs R/UR 50/-,Other,NUMBERS,0,https://source.unsplash.com/200x200/?Camlin+ULB+120+Pgs+R/UR+50/-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQEM2-1VBOkl8z0-SNE1MEx9d375kEp6EYZfxMmIGJCRZBstdPKn-fMRztRC8&s
Camlin ULB 160 Pgs R/UR 60/-,Other,NUMBERS,0,https://source.unsplash.com/200x200/?Camlin+ULB+160+Pgs+R/UR+60/-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKjm2pdXL0i4RDn2L4-HsiVWd5j-RIV-z6FdMwTO0EQve5Qch4byYWQsc7zw&s
Camlin ULB 200Pgs R/UR 90/-,Other,NUMBERS,0,https://source.unsplash.com/200x200/?Camlin+ULB+200Pgs+R/UR+90/-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm-ZuvdpsE69Mt1vgZhZj_fSCJ8UKBSgXosGa7_Fnc-V02Zy8JUZvSm3IdMw&s
Capsicum plaster 25rs,SELF CARE,PIECES,25,https://source.unsplash.com/200x200/?Capsicum+plaster+25rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8DBNgC-vnigl9kfgNIT4WMLQuJl3AeqvYswIZhqTZF-ma5y9UNvD1UXvMtO4&s
Capsule umbrella,SELF CARE,NUMBERS,390,https://source.unsplash.com/200x200/?Capsule+umbrella,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDJ_xRXKYpNSL2BuFxm9IRdwzQ9HI7hseCdRTQ8JkhwUrN2OYw5gY0UMhfzQ&s
carbonix led pencil 10rs,STATIONARY,NUMBERS,10,https://source.unsplash.com/200x200/?carbonix+led+pencil+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmFztnfKyk76pj-yV2U0etBvFdpHaTd9RjbC5vkRIKpFd4jiWhKKb7enW27FE&s
Cashewnuts 100g,DRY FRUITS,GRAMMES,125,https://source.unsplash.com/200x200/?Cashewnuts+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYmDGjWLsBqsHLNvwKu_goJSQGQcNv610k_P3lFcUTxXVGWeOjqoiV7qGfdt0&s
casio FX-991MS,STATIONARY,NUMBERS,999,https://source.unsplash.com/200x200/?casio+FX-991MS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmbOo9USabgWx8m64vkjbKFeOCPsicqdhleib2w9eBXTMCmNPUdtIkdk0zOPs&s
casio fx-991ms second,STATIONARY,NUMBERS,999,https://source.unsplash.com/200x200/?casio+fx-991ms+second,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmbOo9USabgWx8m64vkjbKFeOCPsicqdhleib2w9eBXTMCmNPUdtIkdk0zOPs&s
cello gripper pen 10rs,STATIONARY,PIECES,10,https://source.unsplash.com/200x200/?cello+gripper+pen+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ_6U9r1NDMP28Uw_OfOEgiLRi2hxtWQpJvvPn4UKP3zFyTBoDbr3X9U78HoU&s
Cellotape small,STATIONARY,NUMBERS,10,https://source.unsplash.com/200x200/?Cellotape+small,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMLjMezCTzwoTCBE3gIUcm-VcMZcxAP1jMZeZUSoVR2BCqEG7kp0f9DuqBMQ&s
Center fresh 1rs,CHOCOLATE,PIECES,1,https://source.unsplash.com/200x200/?Center+fresh+1rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8uX5OjqIr2A-i9snyOjXvWUJlyVQNhaOdBjLk2FF3wedql61g5mauNmuRtA&s
Cheetos C Puffs 28g,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?Cheetos+C+Puffs+28g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWIqLJlbgbdPas7k76zMSitg21dspCsr8YNZLAcFFCvEPQ5PaK45-g1VvDsQ&s
Cheetos M Balls 28g,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?Cheetos+M+Balls+28g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfchVOsA0i0PmTNy53JhH_0MvDJbVx3F_s5JuVbvDH20WZoZhNOabvGm8mdA&s
Cherry Rs.113,Other,,0,https://source.unsplash.com/200x200/?Cherry+Rs.113,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRooJs1uTOcIcqBNw40BvbiSdE_wOwP3n7zlpK9S-mXQzCIzuBm_oDQGLlLRQ&s
Chia seed 100g,DRY FRUITS,GRAMMES,65,https://source.unsplash.com/200x200/?Chia+seed+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3--XqmFLPbcrCVc-c3ERI7AvpW4ToLRra4nmvK-eUycMVxAjHwMzEFoD0NA&s
CHOCO PIE,BISCUITS,BOX,10,https://source.unsplash.com/200x200/?CHOCO+PIE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRbfSpg9BOS3NPhaNqJ_K52ckok2LIxh1lwjwaJTWkt2DQd0m_FHYLY2NmXbM&s
Choco pie Rs.15,CHOCOLATE,NUMBERS,15,https://source.unsplash.com/200x200/?Choco+pie+Rs.15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ1_ZCriRP0mOp9U-dujqK_o-ZzIxezTTDJ8p1YRdYxcq1xBZFfwp1X3FkHQ&s
Chocobakes Rs.180,BISCUITS<> CHOCOLATE,BOX,180,https://source.unsplash.com/200x200/?Chocobakes+Rs.180,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhQUMfz0MYbqI-QFJZduIoielaooY1ArxKPCRmPEWbXO7inLdYb7FO4X4R5oI&s
Chocolate 1rs,CHOCOLATE,,1,https://source.unsplash.com/200x200/?Chocolate+1rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqRDB6_hXXAAfnP_QFbXJcd2uhl55fhatHQp-ePO4He2CmoS9VElCAk1SDLA&s
Cinthol 10rs,SELF CARE,PIECES,10,https://source.unsplash.com/200x200/?Cinthol+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRauDuBuyM1qwwPdeEcjI61rLyeNOdKedXMMcfQlGEfrDmrtSZkowmHsdZH0A&s
cinthol 50,SELF CARE,PIECES,50,https://source.unsplash.com/200x200/?cinthol+50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAS3A3TetTG70b6YSX_6xVsoD_d-U71LwZ_skHQV6NHVHBfwOboli2AFcsrw&s
cinthol 65rs,SELF CARE,PIECES,65,https://source.unsplash.com/200x200/?cinthol+65rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjg3wUQfans7Y9qt8oczVsXLMIquQsW_JqV60FmcOwt2g3nkK0RYgu2zXv7Jg&s
cinthol blue 50rs,SELF CARE,NUMBERS,50,https://source.unsplash.com/200x200/?cinthol+blue+50rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAwkPSNjQPKB3SDlYxtL3DezswNuOvPDb7qEpyzHWzAGZmPwZecGGjiyC4Bnk&s
cinthol original 45rs,SELF CARE,NUMBERS,45,https://source.unsplash.com/200x200/?cinthol+original+45rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-FHJv7ag1u3A960UNq4vWrbSR1lD-RDWNYhK_7kmjUHZ2IUQBnB-u2K9QbA&s
CITICAL scientific calculator CT-991MS,STATIONARY,NUMBERS,680,https://source.unsplash.com/200x200/?CITICAL+scientific+calculator+CT-991MS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7ASqIRyG0b3uvc79tHT432bC1cX116Gsb1274PnVN4GX86U1FqjB7jtlKQ00&s
Claro pen 7rs,STATIONARY,NUMBERS,10,https://source.unsplash.com/200x200/?Claro+pen+7rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGfX_BfIR73Za7osLya40BGVWz0Q-RYFz0FQXYyR7EcVnCcm2d4vyDWJASfd0&s
Clifornia almond,DRY FRUITS,GRAMMES,130,https://source.unsplash.com/200x200/?Clifornia+almond,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf-uGUz_FbJqz0THscQVodqS8P1QspPNKfC0ejkpNuBJ3sJP3tQKkyh8qL7g&s
Clips,ROOM ESSENTIALS,,25,https://source.unsplash.com/200x200/?Clips,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYlrVjy2pHBGOxQsrFbtxoCMdKrXAl05Ch6E6pZCz8UYlxZG2jksPlhh3m95Q&s
cloth brush,ROOM ESSENTIALS,PIECES,50,https://source.unsplash.com/200x200/?cloth+brush,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQysy8_7qFyD0XJciPNmcm_Y1HbsTyuymHfGTQbh6QZmLnEgbuc1BIR6NhXkoo&s
Coconut hair oil,SELF CARE,PACKS,20,https://source.unsplash.com/200x200/?Coconut+hair+oil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXWvKockB5Tcm4Ynx3WekYo0cGxaG73RNNCTMFbXEG4qvNBDAPcI_YEHcdEw&s
Colgate Active Salt Paste Rs.20 Pack,Other,,0,https://source.unsplash.com/200x200/?Colgate+Active+Salt+Paste+Rs.20+Pack,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFh0QybvYDc1u_LYQPE6D-8XjjWNbgF5WZ78psv-FezGPh-W3V1qfOWNxWLR0&s
comb 15rs,SELF CARE,PIECES,15,https://source.unsplash.com/200x200/?comb+15rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4IKggcTVZwW10ZgWWTHM6DrExm_IE92fdsgh8ja4Wz3xPIcOYtXd26fOXOS4&s
comfort 5rs,SELF CARE,PACKS,5,https://source.unsplash.com/200x200/?comfort+5rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoTQSU3X2itV31KeOyuWeES7mRWBLU7nOVGd0tpXw8BERa4GnRn0_sZACfEQ&s
Cotton roll,SELF CARE,PACKS,30,https://source.unsplash.com/200x200/?Cotton+roll,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxbbzQ-sRWYzx03-nFy7H-l0EjOu6MHR2lZ263rXadvDFKJNhLVkrXUmYePIU&s
Cotton socks,SELF CARE,PACKS,160,https://source.unsplash.com/200x200/?Cotton+socks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6_IdmSHZRQqsBw4ba306TYROJGxdqF1Lr6JXDTg5cGpRY6Rx4NRK6CQ5MRA&s
Cotton towel 30x60,TOILETRIES,NUMBERS,145,https://source.unsplash.com/200x200/?Cotton+towel+30x60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQX3Py9rurcJoMOOfAQkXHijkTGvwk3XaMjhTFnkSEeAmGD56nSINOW_Dng-9c&s
cranberry 100,DRY FRUITS,PACKS,90,https://source.unsplash.com/200x200/?cranberry+100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlWMBWDotoYxVjk-UoEUgDbuVgzGgZyFQieZTShygyjx264wIZQMNwb_3pxA&s
Crax bhujia Rs.10,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?Crax+bhujia+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeRifnh9yPd5DTE0T-Ek7lANTy9RUWoRvdtWnk1GaEU2eExnF-e04tbrV2cQ&s
Crax mattar Rs.10,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?Crax+mattar+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTEXRhgKqSzhkJ6bT5n3p44nW9k8Vcv4hPkse1mM5n7Q8OMsvodUW8ZZDGVp4&s
Crax moongdal Rs.10,SNACKS,,10,https://source.unsplash.com/200x200/?Crax+moongdal+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa-8oqimhaQZMSfmC84OzQadDx0Z3PU7W7ipj4XILMnxo-LBuhAyWdTZIO5Nc&s
CROISSANT COCOA GT,CHOCOLATE,NUMBERS,20,https://source.unsplash.com/200x200/?CROISSANT+COCOA+GT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn8d0G-ybuphKg8h4__vx7nrd6AEXsJ0D4U-H_C1kEfvGyXDukLdPbVxl5YQ&s
CROISSANT VANILLA GT,BISCUITS<> CHOCOLATE,PACKS,20,https://source.unsplash.com/200x200/?CROISSANT+VANILLA+GT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGIRsBuwREqzCx9wr_2CU7tD5VpLDhj5O350jf1C4QjrPBsHfEMb-0aSlLXw&s
Cucumber seed 100g,DRY FRUITS,GRAMMES,115,https://source.unsplash.com/200x200/?Cucumber+seed+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRewpi90g1gB9rEHXdVI2ETRDUQcqOfblyyxfJ1WyJdQKhgtI-dGIa7hg6NiDA&s
Cucumber seed 250g,DRY FRUITS,GRAMMES,245,https://source.unsplash.com/200x200/?Cucumber+seed+250g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_jDSr3Yf6Li6Zql46ndg01JYBIiOe018KbSkm37zK_883GkXWIXfwCrJOA6s&s
DAIRY MILK 10rs,CHOCOLATE,PIECES,10,https://source.unsplash.com/200x200/?DAIRY+MILK+10rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbUzkwitpyiw1P13XSac3iaYrZEVhvxuiMzfom-GQxapgFShgoAFEwool_og&s
Dairymilk 100rs,CHOCOLATE,PIECES,100,https://source.unsplash.com/200x200/?Dairymilk+100rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkKxJJizzXbVi_glo6zAjj3Uw3ACBVBx4AnB1SnCsFMqXgGUpMZkOk7AOyvQ&s
Dairymilk 50,CHOCOLATE,PIECES,50,https://source.unsplash.com/200x200/?Dairymilk+50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRriNDCFBhjgR66Z8sZk7VbE0XjeNCI4GlhhbaRjnP9tQdOiViMzD3RLYX9cw&s
DARK FANTASY,BISCUITS,PIECES,40,https://source.unsplash.com/200x200/?DARK+FANTASY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsoeKkok5xlnLM-TdyF5HbmhU7hgM6m4KpwfuC7jMs9dafiFwI8h4Nz4hvrIw&s
Dark Fantasy,BISCUITS,PIECES,40,https://source.unsplash.com/200x200/?Dark+Fantasy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsoeKkok5xlnLM-TdyF5HbmhU7hgM6m4KpwfuC7jMs9dafiFwI8h4Nz4hvrIw&s
Dates 500gms,DRY FRUITS,GRAMMES,250,https://source.unsplash.com/200x200/?Dates+500gms,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9FrgpMRRAknWR1BuNGrr1K90toVL_xVXibFx7cstIP-VqHgwiKy6OjUlB8w&s
dates syrup 400g,DRY FRUITS,BOTTLES,240,https://source.unsplash.com/200x200/?dates+syrup+400g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiAlR-qVB0c7RYmA0rXtU_pVXYvNf4AGqzxYRuy6nc5VmzFNqPrDr9d35bCA&s
Denver body spray 80,SELF CARE,PIECES,80,https://source.unsplash.com/200x200/?Denver+body+spray+80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd2TCVqY759o71oLL-oc9FQ9kqjI2Fo91zTTjHJMuOpZs_DTcidngQF2Yjb34&s
Dettol,TOILETRIES,BOTTLES,45,https://source.unsplash.com/200x200/?Dettol,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5awrkpjRPA1FPhqgb5t0IYNWYljZ9S7PH-vbrPNTKDJECyfr7ysKVuBo-Svo&s
Dettol soap Rs.10,Other,BOTTLES,0,https://source.unsplash.com/200x200/?Dettol+soap+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhX7cLS4yc5otYEw491fqr3xGzYFUrgfNE0_SInhc4il9r_pTX8DRkG4Cj-w&s
Doms Pen 5rs,STATIONARY,NUMBERS,5,https://source.unsplash.com/200x200/?Doms+Pen+5rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB6m01khQ_AN8N9brMJ1eb26g99-SZcL_DAgg0IrrZVjY6CIRlmFgMEZ0v4MI&s
Doms Permanent Marker Rs.20,STATIONARY,NUMBERS,20,https://source.unsplash.com/200x200/?Doms+Permanent+Marker+Rs.20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgqJQBkFb2vv2nAHlZn6NHjO9yWYOkRaSnXHdGB-ZAoCv9qRM7_JzcHhCXOQk&s
Doms sketch 25rs,STATIONARY,NUMBERS,25,https://source.unsplash.com/200x200/?Doms+sketch+25rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnONFz7zsriM9uiqJxYLSa4nK5YsNDljgvYe4eDyHvGVVTv-zs-BU1_acV8Ds&s
Doritos Dina L nd C,Other,,0,https://source.unsplash.com/200x200/?Doritos+Dina+L+nd+C,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4-3I7Ay08FUL63gwY1pM3Xy1iQjuB1pLUg_d3cjxQwsZ-6FFySumxe59WOdk&s
Doritos NC Rs.20,SNACKS,PACKS,20,https://source.unsplash.com/200x200/?Doritos+NC+Rs.20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6YqgyabJh4xA4AHLh_V9cVDtzadiPEfJtxGSJKyHv8U9Z_y07cJaVUdm2Dw&s
Doritos S C 45g,Other,,0,https://source.unsplash.com/200x200/?Doritos+S+C+45g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy6IPqooOsymMjMw_OLyPhRu2--kcoQJ_kXaWwgbt4kHbs7epIApHzndYNoac&s
